,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
10,11,2020/10/22 10:38:25,629秒,微信,,61.184.80.244(湖北-十堰),1560,0.03571428571428571,1530,0.07142857142857142,877,0.21428571428571427,1542,0.07142857142857142,1315,0.17857142857142858,1440,0.14285714285714285,733,0.17857142857142858,5有些积极,27,0.14285714285714285,4一般,6,0.10714285714285714,4一般,6,0.21428571428571427,6比较积极,27,0.21428571428571427,6比较积极,0,0.25,7非常积极,认真工作,邋遢,打扮,做作,56,0.17857142857142858,4一般,16,0.21428571428571427,6比较积极,1032,0.07142857142857142,6比较积极,262,0.14285714285714285,4一般,0,0.17857142857142858,5有些积极,130,0.25,7非常积极,沉稳,粗心,温柔,心细,男性,25,本科,5
11,12,2020/10/22 10:44:30,637秒,手机提交,直接访问,218.197.118.2(湖北-武汉),194,0.25,165,0.25,0,0.25,159,0.25,1366,0.17857142857142858,41,0.25,1,0.25,1非常消极,3,0.25,6比较积极,44,0.25,4一般,6,0.25,1非常消极,4,0.25,5有些积极,157,0.25,1非常消极,无,无,陪伴,吵架,115,0.17857142857142858,7非常积极,74,0.14285714285714285,4一般,13,0.14285714285714285,4一般,17,0.25,7非常积极,405,0.25,7非常积极,409,0.25,7非常积极,上进,大方,细腻,young,男性,20,本科,6
12,13,2020/10/22 10:48:29,360秒,手机提交,直接访问,113.57.183.179(湖北-武汉),0,0.25,1224,0.17857142857142858,248,0.17857142857142858,116,0.14285714285714285,145,0.25,1544,0.07142857142857142,145,0.21428571428571427,2比较消极,3,0.17857142857142858,2比较消极,1,0.14285714285714285,1非常消极,167,0.21428571428571427,7非常积极,117,0.17857142857142858,4一般,588,0.14285714285714285,4一般,温柔,渣男,温柔,狗,881,0.14285714285714285,4一般,42,0.21428571428571427,2比较消极,28,0.14285714285714285,4一般,17,0.14285714285714285,4一般,4,0.14285714285714285,4一般,121,0.14285714285714285,4一般,干净,渣男,温柔,不要脸,女性,20,本科,7
13,14,2020/10/22 10:50:12,221秒,手机提交,直接访问,119.103.18.192(湖北-武汉),48,0.14285714285714285,48,0.14285714285714285,48,0.14285714285714285,104,0.21428571428571427,104,0.21428571428571427,104,0.21428571428571427,150,0.21428571428571427,4一般,150,0.14285714285714285,6比较积极,150,0.07142857142857142,6比较积极,108,0.21428571428571427,6比较积极,108,0.14285714285714285,4一般,108,0.21428571428571427,6比较积极,温暖,恶心,优雅,暴躁,16,0.21428571428571427,2比较消极,423,0.21428571428571427,6比较积极,22,0.14285714285714285,7非常积极,19,0.21428571428571427,4一般,1,0.14285714285714285,6比较积极,22,0.21428571428571427,6比较积极,优雅,粗心,温柔,矫情,女性,20,本科,5
14,15,2020/10/22 10:52:54,531秒,手机提交,直接访问,218.197.142.15(湖北-武汉),0,0.21428571428571427,6,0.25,27,0.21428571428571427,55,0.25,65,0.21428571428571427,1324,0.17857142857142858,242,0.25,4一般,2,0.17857142857142858,4一般,8,0.14285714285714285,3有些消极,0,0.21428571428571427,4一般,27,0.14285714285714285,4一般,38,0.17857142857142858,3有些消极,爱干净,打人，或者家暴,化妆?,在背后说人坏话,2,0.17857142857142858,5有些积极,866,0.14285714285714285,4一般,47,0.10714285714285714,3有些消极,945,0.14285714285714285,4一般,1,0.10714285714285714,5有些积极,19,0.10714285714285714,3有些消极,勇敢,邋遢,温和，很容易亲近那种,刻薄,女性,20,本科,5
15,16,2020/10/22 11:38:57,1107秒,微信,,140.243.231.129(福建-漳州),12,0.14285714285714285,67,0.07142857142857142,230,0.17857142857142858,1514,0.10714285714285714,257,0.14285714285714285,75,0.03571428571428571,784,0.17857142857142858,2比较消极,458,0.21428571428571427,2比较消极,206,0.10714285714285714,1非常消极,0,0.25,5有些积极,4,0.17857142857142858,4一般,62,0.21428571428571427,6比较积极,有担当,酗酒,顾家,固执,902,0.14285714285714285,5有些积极,1031,0.07142857142857142,1非常消极,81,0.14285714285714285,4一般,3,0.25,5有些积极,63,0.17857142857142858,5有些积极,839,0.17857142857142858,4一般,有担当,邋遢,爱美,缠人,男性,50,大专,8
16,17,2020/10/22 12:02:49,393秒,手机提交,直接访问,183.95.249.228(湖北-武汉),6,0.21428571428571427,12,0.21428571428571427,1374,0.14285714285714285,36,0.17857142857142858,1469,0.14285714285714285,1034,0.21428571428571427,338,0.25,1非常消极,1,0.21428571428571427,2比较消极,3,0.25,4一般,0,0.25,4一般,31,0.25,3有些消极,4,0.25,4一般,体贴,家暴,顾家,拜金,109,0.25,4一般,31,0.10714285714285714,2比较消极,1033,0.07142857142857142,1非常消极,3,0.25,4一般,280,0.14285714285714285,2比较消极,565,0.21428571428571427,2比较消极,温柔体贴,娘,温柔,嫌贫爱富,男性,22,本科,4
17,18,2020/10/22 13:39:48,819秒,微信,,36.61.216.189(安徽-合肥),901,0.21428571428571427,333,0.25,1531,0.07142857142857142,532,0.25,1003,0.21428571428571427,1474,0.14285714285714285,1,0.21428571428571427,4一般,59,0.25,6比较积极,3,0.17857142857142858,5有些积极,28,0.21428571428571427,5有些积极,26,0.17857142857142858,6比较积极,160,0.25,7非常积极,礼让,打人,勤劳,邋遢,30,0.10714285714285714,6比较积极,271,0.14285714285714285,1非常消极,455,0.21428571428571427,5有些积极,0,0.21428571428571427,7非常积极,105,0.17857142857142858,6比较积极,14,0.25,7非常积极,大度,暴力,温柔,泼妇,女性,40,硕士研究生及以上,8
18,19,2020/10/22 22:13:48,377秒,微信,,223.104.170.57(江西-南昌),0,0.25,78,0.25,168,0.21428571428571427,649,0.25,777,0.25,623,0.25,349,0.25,1非常消极,321,0.25,4一般,346,0.25,2比较消极,388,0.25,7非常积极,389,0.25,4一般,430,0.25,2比较消极,保护女生,欺负女生,摸摸头,骂人,0,0.14285714285714285,4一般,26,0.14285714285714285,6比较积极,69,0.21428571428571427,7非常积极,0,0.21428571428571427,7非常积极,147,0.17857142857142858,4一般,5,0.17857142857142858,6比较积极,温柔,粗暴,温柔,粗暴,男性,22,大专,8
19,20,2020/10/23 8:28:08,770秒,微信,,183.92.248.122(湖北-武汉),830,0.21428571428571427,955,0.21428571428571427,2,0.21428571428571427,1075,0.21428571428571427,1005,0.21428571428571427,1152,0.21428571428571427,571,0.21428571428571427,4一般,901,0.14285714285714285,4一般,2,0.14285714285714285,4一般,599,0.21428571428571427,4一般,625,0.21428571428571427,6比较积极,935,0.14285714285714285,4一般,照顾队友,抽烟喝酒打游戏,言行一致,抽烟喝酒打游戏,8,0.21428571428571427,6比较积极,32,0.14285714285714285,6比较积极,930,0.14285714285714285,6比较积极,4,0.14285714285714285,3有些消极,1,0.14285714285714285,5有些积极,231,0.14285714285714285,5有些积极,大局观，团队意识强,自恋自大，刚愎自负,温和，耐心,自恋自大,女性,20,本科,3
