,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
72,73,2020/10/28 15:05:50,499秒,微信,,27.18.197.137(湖北-武汉),108,0.25,1,0.25,163,0.21428571428571427,240,0.17857142857142858,114,0.21428571428571427,1122,0.21428571428571427,95,0.21428571428571427,6比较积极,1,0.21428571428571427,2比较消极,15,0.25,4一般,50,0.21428571428571427,6比较积极,957,0.14285714285714285,4一般,20,0.25,6比较积极,绅士，有礼貌，会体贴,虚伪，邋遢,温柔大方，有同理心,当面一套背后一套,56,0.17857142857142858,6比较积极,124,0.17857142857142858,6比较积极,7,0.17857142857142858,2比较消极,0,0.21428571428571427,4一般,197,0.17857142857142858,2比较消极,166,0.17857142857142858,6比较积极,大气内敛,虚伪邋遢,大气温柔,一切依靠别人,女性,22,本科,6
73,74,2020/10/28 18:20:56,203秒,手机提交,直接访问,218.197.142.5(湖北-武汉),0,0.25,1230,0.17857142857142858,123,0.21428571428571427,764,0.25,9,0.25,676,0.25,1,0.25,4一般,3,0.25,1非常消极,12,0.25,7非常积极,399,0.25,7非常积极,0,0.25,7非常积极,51,0.25,7非常积极,打球,打人,写字,化妆,278,0.03571428571428571,3有些消极,202,0.03571428571428571,1非常消极,373,0.14285714285714285,1非常消极,939,0.14285714285714285,5有些积极,202,0.17857142857142858,5有些积极,202,0.10714285714285714,4一般,……,……,……,……,女性,19,本科,7
74,75,2020/10/28 18:22:19,266秒,微信,,218.197.142.17(湖北-武汉),166,0.25,13,0.25,101,0.25,9,0.25,735,0.25,50,0.25,57,0.25,7非常积极,744,0.17857142857142858,3有些消极,2,0.25,5有些积极,24,0.25,5有些积极,0,0.25,5有些积极,20,0.25,7非常积极,玩游戏,装逼,贤惠,浓香水,542,0.03571428571428571,1非常消极,542,0.03571428571428571,1非常消极,542,0.03571428571428571,1非常消极,542,0.03571428571428571,1非常消极,542,0.03571428571428571,1非常消极,542,0.03571428571428571,1非常消极,，,@,*,“”,男性,19,本科,5
75,76,2020/10/28 18:22:37,279秒,手机提交,直接访问,119.103.97.229(湖北-武汉),434,0.25,1267,0.17857142857142858,476,0.25,510,0.25,1441,0.14285714285714285,734,0.25,8,0.17857142857142858,2比较消极,2,0.14285714285714285,5有些积极,3,0.17857142857142858,4一般,0,0.25,7非常积极,361,0.25,7非常积极,41,0.25,7非常积极,学计算机,打架,化妆,打架,8,0.14285714285714285,6比较积极,2,0.14285714285714285,5有些积极,928,0.14285714285714285,7非常积极,0,0.14285714285714285,5有些积极,53,0.17857142857142858,5有些积极,260,0.17857142857142858,5有些积极,自信,懦弱,自信,懦弱,男性,18,本科,4
76,77,2020/10/28 18:22:41,223秒,手机提交,直接访问,113.57.245.237(湖北-武汉),171,0.03571428571428571,416,0.03571428571428571,206,0.03571428571428571,276,0.03571428571428571,1580,0.03571428571428571,273,0.03571428571428571,805,0.03571428571428571,7非常积极,323,0.25,7非常积极,306,0.25,7非常积极,0,0.25,7非常积极,88,0.25,7非常积极,151,0.03571428571428571,7非常积极,女装,不穿小裙子,弹古筝,无,278,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,1,1,1,1,男性,1,硕士研究生及以上,100
77,78,2020/10/28 18:22:43,297秒,手机提交,直接访问,218.197.142.14(湖北-武汉),1,0.25,7,0.25,367,0.25,16,0.25,761,0.25,786,0.25,1,0.21428571428571427,3有些消极,3,0.17857142857142858,5有些积极,2,0.17857142857142858,4一般,0,0.17857142857142858,4一般,4,0.17857142857142858,4一般,9,0.17857142857142858,4一般,绅士,抽烟,化妆,绿茶,287,0.14285714285714285,4一般,286,0.10714285714285714,2比较消极,47,0.17857142857142858,4一般,14,0.17857142857142858,5有些积极,5,0.17857142857142858,5有些积极,6,0.17857142857142858,5有些积极,温文尔雅,乱发脾气,可爱,绿茶,女性,16,本科,7
78,79,2020/10/28 18:22:43,320秒,手机提交,直接访问,183.92.251.248(湖北-武汉),964,0.21428571428571427,944,0.21428571428571427,887,0.21428571428571427,186,0.21428571428571427,44,0.14285714285714285,83,0.21428571428571427,2,0.21428571428571427,4一般,1,0.21428571428571427,2比较消极,3,0.21428571428571427,4一般,0,0.21428571428571427,4一般,4,0.21428571428571427,4一般,9,0.17857142857142858,4一般,见义勇为,吸烟,撒娇,化妆,18,0.14285714285714285,4一般,88,0.14285714285714285,7非常积极,446,0.21428571428571427,5有些积极,0,0.21428571428571427,6比较积极,5,0.21428571428571427,6比较积极,14,0.21428571428571427,6比较积极,有责任心,无赖,温柔,泼辣,男性,18,本科,5
79,80,2020/10/28 18:22:52,307秒,手机提交,直接访问,218.197.142.18(湖北-武汉),7,0.21428571428571427,4,0.21428571428571427,0,0.21428571428571427,1052,0.21428571428571427,148,0.25,646,0.25,16,0.21428571428571427,1非常消极,992,0.07142857142857142,1非常消极,177,0.14285714285714285,5有些积极,383,0.25,1非常消极,1004,0.07142857142857142,6比较积极,1007,0.07142857142857142,6比较积极,晒晒,抠脚,撩他,啊,142,0.07142857142857142,2比较消极,142,0.21428571428571427,7非常积极,142,0.10714285714285714,2比较消极,1038,0.07142857142857142,4一般,1047,0.07142857142857142,2比较消极,588,0.21428571428571427,7非常积极,啊,我,我,我,男性,18,本科,7
80,81,2020/10/28 18:23:06,310秒,手机提交,直接访问,218.197.142.10(湖北-武汉),1569,0.03571428571428571,1404,0.14285714285714285,1415,0.14285714285714285,275,0.03571428571428571,111,0.14285714285714285,1554,0.07142857142857142,999,0.07142857142857142,1非常消极,912,0.14285714285714285,3有些消极,488,0.21428571428571427,3有些消极,1015,0.03571428571428571,1非常消极,985,0.10714285714285714,5有些积极,988,0.10714285714285714,1非常消极,打球,放弃,卖萌,撒娇,18,0.07142857142857142,1非常消极,1030,0.07142857142857142,2比较消极,509,0.21428571428571427,4一般,963,0.14285714285714285,2比较消极,959,0.14285714285714285,4一般,579,0.21428571428571427,4一般,饿,还,看,他,男性,10,本科,5
81,82,2020/10/28 18:23:30,359秒,手机提交,直接访问,218.197.142.14(湖北-武汉),379,0.25,108,0.17857142857142858,841,0.21428571428571427,544,0.25,275,0.25,675,0.25,5,0.21428571428571427,6比较积极,754,0.17857142857142858,4一般,101,0.03571428571428571,4一般,134,0.21428571428571427,5有些积极,0,0.21428571428571427,4一般,4,0.21428571428571427,4一般,给女生买口红,不给女生买口红,给男生买鞋,不让男生打游戏,42,0.14285714285714285,4一般,916,0.14285714285714285,5有些积极,710,0.17857142857142858,4一般,934,0.14285714285714285,4一般,941,0.14285714285714285,4一般,938,0.14285714285714285,3有些消极,给女生买礼物,不给女生买礼物,哈哈,哈哈,男性,17,本科,8
82,83,2020/10/28 18:23:36,233秒,手机提交,直接访问,183.92.251.114(湖北-武汉),48,0.14285714285714285,225,0.14285714285714285,228,0.14285714285714285,181,0.21428571428571427,243,0.14285714285714285,220,0.21428571428571427,23,0.21428571428571427,6比较积极,23,0.21428571428571427,6比较积极,101,0.21428571428571427,7非常积极,27,0.21428571428571427,5有些积极,6,0.21428571428571427,6比较积极,23,0.21428571428571427,7非常积极,。,。,。,。,80,0.14285714285714285,4一般,80,0.14285714285714285,4一般,80,0.14285714285714285,4一般,80,0.14285714285714285,4一般,80,0.14285714285714285,4一般,80,0.14285714285714285,4一般,。,。,。,。,男性,17,本科,10
83,84,2020/10/28 18:23:39,319秒,手机提交,直接访问,218.197.142.6(湖北-武汉),0,0.21428571428571427,269,0.17857142857142858,1563,0.03571428571428571,55,0.25,634,0.25,595,0.25,2,0.25,7非常积极,14,0.25,7非常积极,921,0.14285714285714285,6比较积极,65,0.25,1非常消极,134,0.25,4一般,41,0.25,5有些积极,运动,邋遢,社交,买买买,174,0.25,7非常积极,346,0.25,7非常积极,371,0.25,7非常积极,0,0.25,7非常积极,137,0.25,7非常积极,83,0.14285714285714285,4一般,无敌,邋遢,温柔,浪费,男性,19,本科,3
84,85,2020/10/28 18:23:54,250秒,手机提交,直接访问,218.197.142.14(湖北-武汉),228,0.25,304,0.25,456,0.25,181,0.25,77,0.25,243,0.25,258,0.25,7非常积极,279,0.25,7非常积极,270,0.25,7非常积极,23,0.25,7非常积极,23,0.25,7非常积极,23,0.25,7非常积极,无,无,无,无,11,0.25,7非常积极,97,0.25,7非常积极,5,0.25,7非常积极,5,0.25,7非常积极,203,0.25,7非常积极,163,0.25,7非常积极,无,无,无,无,男性,18,本科,10
85,86,2020/10/28 18:24:28,380秒,微信,,183.92.250.85(湖北-随州),43,0.25,15,0.25,176,0.07142857142857142,14,0.25,42,0.25,217,0.25,5,0.25,7非常积极,30,0.25,7非常积极,228,0.25,7非常积极,0,0.21428571428571427,6比较积极,65,0.21428571428571427,3有些消极,403,0.25,5有些积极,健身,化妆,。,抽烟,318,0.25,7非常积极,323,0.25,5有些积极,485,0.21428571428571427,7非常积极,942,0.07142857142857142,2比较消极,942,0.07142857142857142,4一般,1040,0.07142857142857142,4一般,有肌肉,娘气,9,、,男性,18,本科,6
86,87,2020/10/28 18:24:42,418秒,微信,,218.197.142.14(湖北-武汉),395,0.25,1236,0.17857142857142858,378,0.25,1086,0.21428571428571427,1316,0.17857142857142858,1347,0.17857142857142858,72,0.21428571428571427,2比较消极,8,0.17857142857142858,1非常消极,1,0.17857142857142858,6比较积极,940,0.14285714285714285,6比较积极,0,0.25,6比较积极,87,0.14285714285714285,7非常积极,运动,打架,看书,抽烟,11,0.21428571428571427,7非常积极,157,0.17857142857142858,7非常积极,58,0.21428571428571427,3有些消极,0,0.17857142857142858,6比较积极,981,0.14285714285714285,2比较消极,44,0.21428571428571427,4一般,阳刚,贪小便宜,温柔,阴阳怪气,男性,19,本科,4
87,88,2020/10/28 18:24:42,408秒,微信,,218.197.142.8(湖北-武汉),13,0.25,23,0.25,0,0.25,9,0.25,605,0.25,781,0.25,2,0.25,4一般,5,0.25,6比较积极,200,0.14285714285714285,3有些消极,200,0.21428571428571427,3有些消极,0,0.21428571428571427,5有些积极,162,0.21428571428571427,5有些积极,积极向上,家暴,温文尔雅,大吵大闹,114,0.21428571428571427,3有些消极,68,0.17857142857142858,5有些积极,289,0.10714285714285714,7非常积极,289,0.17857142857142858,7非常积极,3,0.21428571428571427,5有些积极,966,0.14285714285714285,5有些积极,积极向上,家暴,文静,大吵大闹,男性,18,本科,2
88,89,2020/10/28 18:24:43,439秒,手机提交,直接访问,183.92.250.83(湖北-随州),34,0.25,15,0.25,60,0.21428571428571427,64,0.25,143,0.25,988,0.21428571428571427,341,0.25,1非常消极,332,0.25,7非常积极,14,0.25,7非常积极,396,0.25,7非常积极,104,0.25,7非常积极,407,0.25,7非常积极,脾气好，开的起玩笑，心眼大,冷暴力,善良爱笑,做作，心思多,9,0.25,7非常积极,23,0.25,7非常积极,358,0.25,7非常积极,0,0.25,7非常积极,237,0.25,7非常积极,6,0.25,7非常积极,阳光,冷暴力,温柔,心眼多,女性,18,本科,7
89,90,2020/10/28 18:24:46,437秒,手机提交,直接访问,218.197.142.8(湖北-武汉),15,0.25,225,0.25,48,0.25,673,0.25,220,0.21428571428571427,40,0.07142857142857142,17,0.25,4一般,240,0.25,7非常积极,40,0.25,7非常积极,7,0.25,4一般,11,0.21428571428571427,3有些消极,390,0.25,7非常积极,找女朋友,。。,。。,。。,80,0.10714285714285714,1非常消极,1053,0.03571428571428571,7非常积极,1054,0.03571428571428571,3有些消极,1043,0.07142857142857142,2比较消极,373,0.07142857142857142,2比较消极,1045,0.07142857142857142,2比较消极,。,。,。,，,男性,18,本科,8
90,91,2020/10/28 18:24:56,432秒,微信,,218.197.142.7(湖北-武汉),372,0.25,132,0.25,439,0.25,83,0.25,1310,0.17857142857142858,1351,0.17857142857142858,339,0.25,4一般,154,0.21428571428571427,5有些积极,122,0.21428571428571427,6比较积极,692,0.21428571428571427,4一般,699,0.21428571428571427,6比较积极,154,0.21428571428571427,6比较积极,文质彬彬,没有素质,温文儒雅,没有素质,9,0.14285714285714285,3有些消极,7,0.14285714285714285,3有些消极,516,0.21428571428571427,6比较积极,60,0.21428571428571427,6比较积极,15,0.21428571428571427,6比较积极,596,0.21428571428571427,2比较消极,阳光开朗,渣,温文儒雅,渣,男性,18,本科,7
91,92,2020/10/28 18:25:09,393秒,手机提交,直接访问,183.95.250.202(湖北-武汉),0,0.07142857142857142,1479,0.10714285714285714,1561,0.03571428571428571,1581,0.03571428571428571,1306,0.17857142857142858,703,0.25,2,0.25,4一般,12,0.25,6比较积极,27,0.14285714285714285,4一般,4,0.25,4一般,27,0.17857142857142858,4一般,191,0.17857142857142858,4一般,阳光乐观,贱,温柔,买买买,18,0.14285714285714285,4一般,932,0.14285714285714285,4一般,304,0.07142857142857142,3有些消极,65,0.14285714285714285,4一般,25,0.14285714285714285,4一般,0,0.14285714285714285,4一般,暖,贱,温柔,买买买,男性,18,本科,6
92,93,2020/10/28 18:25:18,416秒,手机提交,直接访问,122.97.220.24(江苏-南京),362,0.25,440,0.25,457,0.25,792,0.25,713,0.25,706,0.25,44,0.17857142857142858,5有些积极,729,0.17857142857142858,1非常消极,39,0.25,7非常积极,816,0.17857142857142858,3有些消极,13,0.17857142857142858,5有些积极,0,0.25,1非常消极,安静,装逼,好看且安静,作,18,0.14285714285714285,7非常积极,273,0.17857142857142858,3有些消极,275,0.21428571428571427,6比较积极,15,0.21428571428571427,7非常积极,3,0.25,7非常积极,833,0.17857142857142858,1非常消极,帅,强行装逼,漂亮,矫情,男性,18,本科,4
93,94,2020/10/28 18:25:47,486秒,微信,,218.197.142.20(湖北-武汉),808,0.21428571428571427,1254,0.17857142857142858,1562,0.03571428571428571,1115,0.21428571428571427,633,0.25,983,0.21428571428571427,1,0.25,2比较消极,3,0.17857142857142858,4一般,58,0.17857142857142858,3有些消极,187,0.21428571428571427,5有些积极,6,0.21428571428571427,4一般,7,0.21428571428571427,5有些积极,暖,大男子,可爱,高傲,12,0.21428571428571427,7非常积极,42,0.25,4一般,228,0.21428571428571427,6比较积极,3,0.21428571428571427,6比较积极,618,0.21428571428571427,5有些积极,279,0.14285714285714285,3有些消极,情商高,油腻,活泼,高冷,男性,18,本科,10
94,95,2020/10/28 18:25:52,510秒,手机提交,直接访问,183.92.248.103(湖北-武汉),450,0.25,380,0.25,66,0.25,624,0.25,758,0.25,154,0.25,127,0.25,5有些积极,17,0.17857142857142858,5有些积极,1,0.25,6比较积极,7,0.25,5有些积极,11,0.17857142857142858,5有些积极,0,0.17857142857142858,5有些积极,英雄救美,装逼失败,追剧,无理取闹,673,0.17857142857142858,5有些积极,277,0.17857142857142858,6比较积极,228,0.17857142857142858,6比较积极,3,0.17857142857142858,5有些积极,71,0.21428571428571427,6比较积极,983,0.14285714285714285,1非常消极,情商高,油腻,知性,说三道四,男性,19,本科,10
95,96,2020/10/28 18:26:07,520秒,手机提交,直接访问,218.197.142.7(湖北-武汉),849,0.21428571428571427,868,0.21428571428571427,277,0.25,980,0.21428571428571427,1013,0.21428571428571427,159,0.25,2,0.17857142857142858,3有些消极,30,0.21428571428571427,7非常积极,5,0.21428571428571427,7非常积极,0,0.25,4一般,812,0.17857142857142858,4一般,105,0.25,4一般,健身,抽烟,留发,涂指甲,702,0.17857142857142858,7非常积极,20,0.14285714285714285,6比较积极,157,0.17857142857142858,7非常积极,0,0.21428571428571427,6比较积极,255,0.14285714285714285,6比较积极,134,0.17857142857142858,4一般,果断,粗鲁,细致,寡断,男性,18,本科,3
96,97,2020/10/28 18:26:07,516秒,手机提交,直接访问,218.197.142.9(湖北-武汉),93,0.25,871,0.21428571428571427,3,0.25,1083,0.21428571428571427,1025,0.21428571428571427,619,0.25,142,0.21428571428571427,6比较积极,483,0.21428571428571427,6比较积极,457,0.21428571428571427,4一般,0,0.17857142857142858,6比较积极,868,0.17857142857142858,4一般,203,0.21428571428571427,6比较积极,少说多做,吹牛,妩媚,自装清高,50,0.21428571428571427,7非常积极,513,0.21428571428571427,2比较消极,256,0.21428571428571427,6比较积极,14,0.21428571428571427,7非常积极,844,0.17857142857142858,6比较积极,266,0.21428571428571427,4一般,充满幻想,只说不做,真实,善变,男性,18,本科,4
97,98,2020/10/28 18:26:26,538秒,手机提交,直接访问,218.197.142.6(湖北-武汉),0,0.25,247,0.17857142857142858,13,0.21428571428571427,69,0.17857142857142858,274,0.14285714285714285,256,0.17857142857142858,16,0.21428571428571427,3有些消极,116,0.25,7非常积极,2,0.21428571428571427,4一般,0,0.25,7非常积极,60,0.17857142857142858,3有些消极,163,0.21428571428571427,2比较消极,传统手艺,女装,化妆,不洗澡,22,0.25,7非常积极,108,0.25,1非常消极,68,0.17857142857142858,6比较积极,40,0.21428571428571427,6比较积极,61,0.17857142857142858,4一般,259,0.17857142857142858,4一般,成熟稳重,爱装逼,善解人意,矫情,男性,18,本科,4
98,99,2020/10/28 18:26:33,544秒,手机提交,直接访问,119.103.41.20(湖北-武汉),0,0.25,247,0.17857142857142858,13,0.21428571428571427,69,0.17857142857142858,274,0.14285714285714285,256,0.17857142857142858,16,0.21428571428571427,3有些消极,116,0.25,7非常积极,2,0.21428571428571427,4一般,0,0.25,7非常积极,60,0.17857142857142858,3有些消极,163,0.21428571428571427,2比较消极,传统手艺,女装,化妆,不洗澡,22,0.25,7非常积极,108,0.25,1非常消极,68,0.17857142857142858,6比较积极,40,0.21428571428571427,6比较积极,61,0.17857142857142858,4一般,259,0.17857142857142858,4一般,成熟稳重,爱装逼,善解人意,矫情,男性,18,本科,4
99,100,2020/10/28 18:26:39,557秒,手机提交,直接访问,218.197.142.19(湖北-武汉),1186,0.17857142857142858,34,0.25,375,0.25,70,0.17857142857142858,64,0.17857142857142858,33,0.25,104,0.07142857142857142,6比较积极,230,0.25,6比较积极,243,0.25,7非常积极,104,0.14285714285714285,7非常积极,179,0.17857142857142858,6比较积极,159,0.17857142857142858,6比较积极,善良绅士,小气,可爱善良,阴阳怪气,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,嗯,嗯,嗯,嗯,女性,19,本科,7
100,101,2020/10/28 18:26:48,561秒,手机提交,直接访问,119.103.129.30(湖北-武汉),38,0.21428571428571427,37,0.25,414,0.25,62,0.25,40,0.14285714285714285,33,0.25,104,0.14285714285714285,5有些积极,351,0.14285714285714285,5有些积极,12,0.25,7非常积极,0,0.25,5有些积极,432,0.25,4一般,941,0.14285714285714285,7非常积极,可爱,吹牛,看书,胡乱说话,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,37,0.14285714285714285,4一般,嗯,嗯,嗯,嗯,女性,18,本科,4
101,102,2020/10/28 18:26:50,499秒,微信,,223.104.20.114(湖北-武汉),0,0.25,432,0.25,204,0.21428571428571427,516,0.25,22,0.25,1577,0.03571428571428571,2,0.25,4一般,566,0.21428571428571427,4一般,347,0.25,4一般,0,0.25,6比较积极,384,0.25,4一般,594,0.21428571428571427,3有些消极,打游戏,广撒网,和男同学一起玩,绿茶,222,0.21428571428571427,3有些消极,700,0.17857142857142858,4一般,8,0.17857142857142858,4一般,8,0.17857142857142858,4一般,71,0.17857142857142858,5有些积极,848,0.17857142857142858,4一般,体贴,海王,温柔,绿茶,男性,18,本科,5
102,103,2020/10/28 18:27:03,577秒,手机提交,直接访问,117.136.52.241(湖北-武汉),0,0.25,1220,0.17857142857142858,195,0.17857142857142858,1336,0.17857142857142858,221,0.21428571428571427,188,0.25,2,0.25,4一般,5,0.17857142857142858,5有些积极,3,0.21428571428571427,3有些消极,11,0.17857142857142858,4一般,6,0.17857142857142858,5有些积极,80,0.17857142857142858,4一般,打篮球,打游戏,追星,看剧,219,0.17857142857142858,3有些消极,747,0.17857142857142858,5有些积极,1010,0.10714285714285714,3有些消极,3,0.25,5有些积极,382,0.25,7非常积极,10,0.17857142857142858,3有些消极,绅士,大男子主义,温柔,作,女性,18,高中/中专/技校,7
103,104,2020/10/28 18:27:09,551秒,微信,,117.136.52.242(湖北-武汉),15,0.21428571428571427,838,0.21428571428571427,132,0.25,115,0.21428571428571427,1289,0.17857142857142858,1345,0.17857142857142858,103,0.21428571428571427,7非常积极,103,0.21428571428571427,7非常积极,345,0.25,7非常积极,623,0.21428571428571427,6比较积极,718,0.21428571428571427,7非常积极,33,0.21428571428571427,7非常积极,努力认真,渣,善良与温柔,心机,18,0.14285714285714285,5有些积极,426,0.21428571428571427,6比较积极,328,0.25,7非常积极,203,0.17857142857142858,5有些积极,574,0.21428571428571427,6比较积极,856,0.17857142857142858,6比较积极,幽默,邋遢,自信,势利,男性,19,本科,5
104,105,2020/10/28 18:27:09,545秒,微信,,171.82.167.73(湖北-武汉),57,0.25,374,0.25,358,0.25,800,0.25,543,0.25,209,0.25,55,0.21428571428571427,7非常积极,1,0.17857142857142858,2比较消极,504,0.21428571428571427,1非常消极,26,0.17857142857142858,6比较积极,0,0.21428571428571427,4一般,929,0.14285714285714285,6比较积极,见义勇为,抽烟,打扮,逛街,2,0.21428571428571427,7非常积极,47,0.21428571428571427,4一般,468,0.21428571428571427,7非常积极,0,0.21428571428571427,7非常积极,14,0.21428571428571427,6比较积极,264,0.14285714285714285,4一般,强健,粗鲁,温柔,刻薄,男性,19,本科,6
105,106,2020/10/28 18:27:13,576秒,手机提交,直接访问,223.104.20.38(湖北-武汉),2,0.25,391,0.25,444,0.25,678,0.25,681,0.25,679,0.25,16,0.25,4一般,1,0.17857142857142858,2比较消极,3,0.17857142857142858,4一般,24,0.25,7非常积极,117,0.17857142857142858,3有些消极,841,0.17857142857142858,7非常积极,打篮球,抽烟,爱美,无,278,0.03571428571428571,1非常消极,202,0.03571428571428571,1非常消极,202,0.03571428571428571,1非常消极,278,0.03571428571428571,1非常消极,202,0.03571428571428571,1非常消极,373,0.03571428571428571,1非常消极,1,1,1,1,女性,18,本科,5
106,107,2020/10/28 18:27:29,406秒,手机提交,直接访问,223.104.20.81(湖北-武汉),1,0.21428571428571427,1201,0.17857142857142858,269,0.10714285714285714,9,0.21428571428571427,1287,0.17857142857142858,1472,0.14285714285714285,2,0.25,4一般,748,0.17857142857142858,3有些消极,454,0.21428571428571427,5有些积极,0,0.25,5有些积极,351,0.10714285714285714,6比较积极,45,0.25,5有些积极,大方,杠精,可爱含蓄,脏话多,13,0.21428571428571427,6比较积极,933,0.14285714285714285,7非常积极,18,0.10714285714285714,5有些积极,148,0.14285714285714285,5有些积极,854,0.17857142857142858,6比较积极,586,0.14285714285714285,5有些积极,大方,杠精,含蓄内敛,脏话多,男性,18,本科,7
107,108,2020/10/28 18:27:36,581秒,手机提交,直接访问,223.104.20.39(湖北-武汉),0,0.25,167,0.25,359,0.25,592,0.25,153,0.25,504,0.25,2,0.21428571428571427,4一般,303,0.25,7非常积极,272,0.25,7非常积极,7,0.25,1非常消极,11,0.25,1非常消极,51,0.25,1非常消极,哄女友,给别人戴绿帽,理解男生,矫情,529,0.21428571428571427,1非常消极,530,0.21428571428571427,6比较积极,18,0.21428571428571427,7非常积极,78,0.25,1非常消极,92,0.25,4一般,611,0.21428571428571427,3有些消极,有担当,猥琐,通情达理,矫情,男性,18,本科,6
108,109,2020/10/28 18:28:24,521秒,微信,,117.136.81.157(湖北-武汉),3,0.21428571428571427,27,0.21428571428571427,12,0.17857142857142858,31,0.25,1301,0.17857142857142858,1464,0.14285714285714285,5,0.17857142857142858,7非常积极,71,0.17857142857142858,6比较积极,30,0.21428571428571427,7非常积极,818,0.17857142857142858,6比较积极,928,0.14285714285714285,7非常积极,702,0.21428571428571427,6比较积极,运动,装女生,买东西,装嫩,42,0.21428571428571427,6比较积极,922,0.14285714285714285,4一般,668,0.17857142857142858,3有些消极,58,0.17857142857142858,2比较消极,110,0.14285714285714285,1非常消极,784,0.17857142857142858,1非常消极,自强,偏女性化,自立,装绿茶,男性,18,本科,3
109,110,2020/10/28 18:31:01,770秒,手机提交,直接访问,223.104.20.79(湖北-武汉),1397,0.14285714285714285,1240,0.17857142857142858,123,0.14285714285714285,266,0.10714285714285714,1299,0.17857142857142858,1331,0.17857142857142858,492,0.21428571428571427,5有些积极,101,0.17857142857142858,3有些消极,12,0.21428571428571427,6比较积极,32,0.25,4一般,872,0.17857142857142858,2比较消极,443,0.25,1非常消极,打球,赖床,绿茶,骂街,26,0.17857142857142858,7非常积极,190,0.25,7非常积极,13,0.25,7非常积极,608,0.21428571428571427,1非常消极,22,0.25,7非常积极,83,0.17857142857142858,3有些消极,义气,无,无,爱哭,男性,18,本科,4
