序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
11,2020/10/22 10:38:25,629秒,微信,N/A,61.184.80.244(湖北-十堰),舒俊,1非常不典型,周政,2比较不典型,张涛,6比较典型,丁义敏,2比较不典型,张文静,5有些典型,李舒艳,4一般,驼背,5有些典型,5有些积极,聊天,4一般,4一般,购物,3有些不典型,4一般,购物,6比较典型,6比较积极,聊天,6比较典型,6比较积极,化妆,7非常典型,7非常积极,认真工作,邋遢,打扮,做作,沉稳,5有些典型,4一般,粗心,6比较典型,6比较积极,浮夸,2比较不典型,6比较积极,典雅,4一般,4一般,温柔,5有些典型,5有些积极,心细,7非常典型,7非常积极,沉稳,粗心,温柔,心细,男性,25,本科,5
12,2020/10/22 10:44:30,637秒,手机提交,直接访问,218.197.118.2(湖北-武汉),王浩,7非常典型,张浩,7非常典型,张伟,7非常典型,王婷婷,7非常典型,李薇,5有些典型,王倩,7非常典型,抽烟,7非常典型,1非常消极,喝酒,7非常典型,6比较积极,吹牛,7非常典型,4一般,购物,7非常典型,1非常消极,逛街,7非常典型,5有些积极,吵架,7非常典型,1非常消极,无,无,陪伴,吵架,上进,5有些典型,7非常积极,宽容,4一般,4一般,大方,4一般,4一般,细腻,7非常典型,7非常积极,关心,7非常典型,7非常积极,young,7非常典型,7非常积极,上进,大方,细腻,young,男性,20,本科,6
13,2020/10/22 10:48:29,360秒,手机提交,直接访问,113.57.183.179(湖北-武汉),张伟,7非常典型,王雷,5有些典型,刘浩然,5有些典型,韩梅梅,4一般,王欣怡,7非常典型,刘美丽,2比较不典型,不洗澡,6比较典型,2比较消极,喝酒,5有些典型,2比较消极,抽烟,4一般,1非常消极,爱干净,6比较典型,7非常积极,攀比,5有些典型,4一般,玩手机,4一般,4一般,温柔,渣男,温柔,狗,幼稚,4一般,4一般,打游戏,6比较典型,2比较消极,直男,4一般,4一般,细腻,4一般,4一般,敏感,4一般,4一般,话多,4一般,4一般,干净,渣男,温柔,不要脸,女性,20,本科,7
14,2020/10/22 10:50:12,221秒,手机提交,直接访问,119.103.18.192(湖北-武汉),李白,4一般,李白,4一般,李白,4一般,西施,6比较典型,西施,6比较典型,西施,6比较典型,李白,6比较典型,4一般,李白,4一般,6比较积极,李白,2比较不典型,6比较积极,西施,6比较典型,6比较积极,西施,4一般,4一般,西施,6比较典型,6比较积极,温暖,恶心,优雅,暴躁,粗心,6比较典型,2比较消极,忘事,6比较典型,6比较积极,好色,4一般,7非常积极,柔弱,6比较典型,4一般,细心,4一般,6比较积极,好色,6比较典型,6比较积极,优雅,粗心,温柔,矫情,女性,20,本科,5
15,2020/10/22 10:52:54,531秒,手机提交,直接访问,218.197.142.15(湖北-武汉),张伟,6比较典型,李明,7非常典型,李建国,6比较典型,小红,7非常典型,紫萱,6比较典型,一诺,5有些典型,投篮,7非常典型,4一般,打游戏,5有些典型,4一般,打架,4一般,3有些消极,化妆,6比较典型,4一般,聊天,4一般,4一般,减肥,5有些典型,3有些消极,爱干净,打人，或者家暴,化妆?,在背后说人坏话,勇敢,5有些典型,5有些积极,不注重打扮,4一般,4一般,粗鲁,3有些不典型,3有些消极,敏感(这个问卷好难啊),4一般,4一般,细心,3有些不典型,5有些积极,柔弱,3有些不典型,3有些消极,勇敢,邋遢,温和，很容易亲近那种,刻薄,女性,20,本科,5
16,2020/10/22 11:38:57,1107秒,微信,N/A,140.243.231.129(福建-漳州),王强,4一般,王红,2比较不典型,王峰,5有些典型,王惠,3有些不典型,王敏,4一般,王军,1非常不典型,爱面子,5有些典型,2比较消极,争强,6比较典型,2比较消极,酗酒,3有些不典型,1非常消极,化妆,7非常典型,5有些积极,逛街,5有些典型,4一般,网购,6比较典型,6比较积极,有担当,酗酒,顾家,固执,爱吹牛,4一般,5有些积极,不顾家,2比较不典型,1非常消极,邋遢,4一般,4一般,爱美,7非常典型,5有些积极,顾家,5有些典型,5有些积极,爱买东西,5有些典型,4一般,有担当,邋遢,爱美,缠人,男性,50,大专,8
17,2020/10/22 12:02:49,393秒,手机提交,直接访问,183.95.249.228(湖北-武汉),李明,6比较典型,王强,6比较典型,赵源,4一般,李红,5有些典型,刘月,4一般,王英,6比较典型,脏话,7非常典型,1非常消极,抽烟,6比较典型,2比较消极,喝酒,7非常典型,4一般,化妆,7非常典型,4一般,买买买,7非常典型,3有些消极,逛街,7非常典型,4一般,体贴,家暴,顾家,拜金,穷,7非常典型,4一般,自恋,3有些不典型,2比较消极,娘,2比较不典型,1非常消极,爱美,7非常典型,4一般,绿茶,4一般,2比较消极,嫌贫爱富,6比较典型,2比较消极,温柔体贴,娘,温柔,嫌贫爱富,男性,22,本科,4
18,2020/10/22 13:39:48,819秒,微信,N/A,36.61.216.189(安徽-合肥),西马,6比较典型,丁大力,7非常典型,就欢,2比较不典型,李花花,7非常典型,张梦雅,6比较典型,张雨,4一般,抽烟,6比较典型,4一般,引体向上,7非常典型,6比较积极,喝酒,5有些典型,5有些积极,美容,6比较典型,5有些积极,跳舞,5有些典型,6比较积极,刺绣,7非常典型,7非常积极,礼让,打人,勤劳,邋遢,大度,3有些不典型,6比较积极,暴力,4一般,1非常消极,有力气,6比较典型,5有些积极,温柔,6比较典型,7非常积极,知性,5有些典型,6比较积极,美丽,7非常典型,7非常积极,大度,暴力,温柔,泼妇,女性,40,硕士研究生及以上,8
19,2020/10/22 22:13:48,377秒,微信,N/A,223.104.170.57(江西-南昌),张伟,7非常典型,张军,7非常典型,李亮,6比较典型,许莹莹,7非常典型,周冰洁,7非常典型,郭芙蓉,7非常典型,张强,7非常典型,1非常消极,张伟,7非常典型,4一般,张军,7非常典型,2比较消极,周莹莹,7非常典型,7非常积极,周冰洁,7非常典型,4一般,郭芙蓉,7非常典型,2比较消极,保护女生,欺负女生,摸摸头,骂人,温柔,4一般,4一般,强壮,4一般,6比较积极,有爱心,6比较典型,7非常积极,温柔,6比较典型,7非常积极,爱撒娇,5有些典型,4一般,可爱,5有些典型,6比较积极,温柔,粗暴,温柔,粗暴,男性,22,大专,8
20,2020/10/23 8:28:08,770秒,微信,N/A,183.92.248.122(湖北-武汉),张安,6比较典型,段少石,6比较典型,王建国,6比较典型,何雨晴,6比较典型,张梦萌,6比较典型,张雅洁,6比较典型,坐姿，双腿分开,6比较典型,4一般,饭量大,4一般,4一般,打游戏,4一般,4一般,坐姿，双腿交叠或并拢,6比较典型,4一般,就餐，小口吃饭，饭量少,6比较典型,6比较积极,关注发型服饰等外在特征,4一般,4一般,照顾队友,抽烟喝酒打游戏,言行一致,抽烟喝酒打游戏,自信,6比较典型,6比较积极,乐观,4一般,6比较积极,大局观,4一般,6比较积极,敏感,4一般,3有些消极,细心,4一般,5有些积极,温和,4一般,5有些积极,大局观，团队意识强,自恋自大，刚愎自负,温和，耐心,自恋自大,女性,20,本科,3
