序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
109,2020/10/28 18:28:24,521秒,微信,N/A,117.136.81.157(湖北-武汉),李刚,6比较典型,李建国,6比较典型,王强,5有些典型,林黛玉,7非常典型,刘鑫佳,5有些典型,王倩倩,4一般,打篮球,5有些典型,7非常积极,踢足球,5有些典型,6比较积极,健身,6比较典型,7非常积极,踢毽子,5有些典型,6比较积极,打羽毛球,4一般,7非常积极,跳皮筋,6比较典型,6比较积极,运动,装女生,买东西,装嫩,打游戏,6比较典型,6比较积极,摸别人头,4一般,4一般,好强,5有些典型,3有些消极,暴躁,5有些典型,2比较消极,自以为是,4一般,1非常消极,仗着自己女生身份,5有些典型,1非常消极,自强,偏女性化,自立,装绿茶,男性,18,本科,3
110,2020/10/28 18:31:01,770秒,手机提交,直接访问,223.104.20.79(湖北-武汉),徐天天,4一般,潘红臣,5有些典型,丁子康,4一般,王萌萌,3有些不典型,张梦,5有些典型,马芳,5有些典型,赖床,6比较典型,5有些积极,打王者,5有些典型,3有些消极,打球,6比较典型,6比较积极,逛淘宝,7非常典型,4一般,绿茶,5有些典型,2比较消极,骂街,7非常典型,1非常消极,打球,赖床,绿茶,骂街,强壮,5有些典型,7非常积极,义气,7非常典型,7非常积极,大方,7非常典型,7非常积极,事儿多,6比较典型,1非常消极,好色,7非常典型,7非常积极,爱哭,5有些典型,3有些消极,义气,无,无,爱哭,男性,18,本科,4
111,2020/10/28 18:31:35,586秒,微信,N/A,183.92.250.215(湖北-随州),林俊杰,6比较典型,赵子龙,7非常典型,项羽,7非常典型,章子怡,7非常典型,刘亦菲,6比较典型,赵薇,5有些典型,打游戏,5有些典型,4一般,追番,5有些典型,4一般,打篮球,6比较典型,6比较积极,购物,7非常典型,3有些消极,吃零食,5有些典型,4一般,追星,6比较典型,4一般,谈钢琴,油腻,谈琴,舆论,独立,6比较典型,7非常积极,领导力,5有些典型,7非常积极,好面子,7非常典型,4一般,优雅,3有些不典型,6比较积极,庄重,4一般,6比较积极,韧性,3有些不典型,7非常积极,掌控力,逃避,温柔,病娇,男性,19,本科,5
112,2020/10/28 18:32:21,691秒,手机提交,直接访问,117.136.52.219(湖北-武汉),李逵,7非常典型,赵子龙,7非常典型,李小龙,7非常典型,貂蝉,7非常典型,花木兰,7非常典型,甄姬,7非常典型,打架,5有些典型,2比较消极,光膀子,7非常典型,1非常消极,去网吧,6比较典型,4一般,撒娇,6比较典型,4一般,买化妆品,7非常典型,4一般,spa,6比较典型,5有些积极,保安,恃强凌弱,才艺表演,骂人,大方,5有些典型,7非常积极,直男,7非常典型,5有些积极,慎独,5有些典型,6比较积极,扭捏,5有些典型,4一般,胆小,6比较典型,4一般,易怒,4一般,2比较消极,大方,腹黑,从容,心机,男性,18,本科,6
113,2020/10/28 18:32:40,903秒,手机提交,直接访问,171.82.235.12(湖北-武汉),李伟,6比较典型,陈华,5有些典型,王源,5有些典型,李莹,7非常典型,陈欢,6比较典型,李丽,5有些典型,打游戏,6比较典型,4一般,看美女,6比较典型,4一般,不爱主动和女生说话,6比较典型,3有些消极,谈八卦,7非常典型,4一般,看帅哥小姐姐,6比较典型,4一般,打量别人,6比较典型,2比较消极,主动帮助别人,骄傲自大,赞美别人,语言攻击,臭,5有些典型,3有些消极,冷漠,6比较典型,2比较消极,沉默,5有些典型,3有些消极,攻击性,5有些典型,3有些消极,可爱,5有些典型,6比较积极,温柔,5有些典型,6比较积极,乐于助人,冷漠,温柔,攻击性,女性,18,本科,4
114,2020/10/28 18:32:58,917秒,微信,N/A,218.197.142.5(湖北-武汉),张伟,6比较典型,陈健,4一般,许源,3有些不典型,李娜,7非常典型,张超,2比较不典型,马兰香,6比较典型,打篮球,6比较典型,6比较积极,打呼噜,4一般,4一般,跑步,7非常典型,7非常积极,化妆,7非常典型,6比较积极,文雅,7非常典型,7非常积极,积极,4一般,4一般,扣篮,说脏话骂人,文雅礼貌,说脏话,坦率,6比较典型,7非常积极,沉稳,6比较典型,6比较积极,绅士,7非常典型,7非常积极,坚强,7非常典型,7非常积极,独立,7非常典型,7非常积极,自律,6比较典型,6比较积极,沉稳,懒惰,坚持,懒惰,男性,18,本科,8
115,2020/10/28 18:35:53,1003秒,手机提交,直接访问,117.136.81.162(湖北-武汉),张伟,7非常典型,李鹏,7非常典型,张杰,7非常典型,陈小慧,7非常典型,王晶,7非常典型,李惠文,7非常典型,打游戏,7非常典型,3有些消极,打篮球,5有些典型,7非常积极,勾肩搭背,5有些典型,4一般,化妆,7非常典型,3有些消极,和闺蜜一起上厕所,7非常典型,4一般,问题多,5有些典型,4一般,帮助他人,装逼,爱打扮,拖延,多动,3有些不典型,4一般,话少,4一般,4一般,不注意细节,4一般,2比较消极,注意细节,4一般,6比较积极,文静,4一般,4一般,爱打扮,4一般,4一般,乐于助人,装逼,爱打扮,问题多,男性,19,本科,4
116,2020/10/28 18:38:01,1231秒,手机提交,直接访问,223.104.20.28(湖北-武汉),周润发,7非常典型,刘德华,7非常典型,王广,3有些不典型,汤练兵,3有些不典型,梅颖,7非常典型,龙娜,7非常典型,打游戏,7非常典型,6比较积极,打篮球,7非常典型,2比较消极,下棋,6比较典型,2比较消极,化妆,7非常典型,1非常消极,购物,6比较典型,4一般,吃美食,7非常典型,6比较积极,打游戏,娘炮,化妆,无理取闹,硬朗,7非常典型,5有些积极,阳光,7非常典型,4一般,实力雄厚,6比较典型,5有些积极,漂亮,7非常典型,4一般,体贴,7非常典型,6比较积极,懂事理,6比较典型,6比较积极,硬朗,娘气,漂亮,浓妆艳抹,男性,18,本科,4
117,2020/10/28 18:42:06,1478秒,手机提交,直接访问,223.104.20.105(湖北-武汉),王建国,7非常典型,李云龙,7非常典型,蓝伟,6比较典型,蓝慧,7非常典型,王佳,7非常典型,李丽,7非常典型,吸烟,7非常典型,1非常消极,喝酒,7非常典型,4一般,暴躁,6比较典型,3有些消极,跳舞,7非常典型,6比较积极,爱哭,6比较典型,4一般,装,5有些典型,4一般,勇敢,懦弱,大方,装,责任感,6比较典型,7非常积极,上进心,5有些典型,7非常积极,庄严大气,6比较典型,7非常积极,软弱,6比较典型,4一般,典雅,6比较典型,4一般,敏感,6比较典型,5有些积极,有责任感,无责任心,敏感,大大咧咧,男性,18,本科,4
118,2020/10/28 18:50:24,1907秒,微信,N/A,117.136.81.218(湖北-武汉),叶问,6比较典型,谢霆锋,6比较典型,周杰伦,6比较典型,杜冰,6比较典型,李瑜,5有些典型,张丽丽,7非常典型,喝酒,7非常典型,6比较积极,打响指,6比较典型,6比较积极,打球,7非常典型,7非常积极,涂指甲,6比较典型,6比较积极,化妆,7非常典型,7非常积极,听歌,6比较典型,6比较积极,打响指,抽烟,爱美,行为粗犷,力量,6比较典型,6比较积极,豪放,6比较典型,6比较积极,警惕,6比较典型,6比较积极,心细,7非常典型,7非常积极,爱美,7非常典型,7非常积极,柔弱,6比较典型,6比较积极,绅士,自大,爱美,矫情,男性,17,本科,6
119,2020/10/28 18:50:48,1997秒,手机提交,直接访问,117.136.52.241(湖北-武汉),贺泓凯,5有些典型,倪康,6比较典型,丁子康,5有些典型,周泉,6比较典型,余可欣,5有些典型,孙楠茜,6比较典型,讲话直率,5有些典型,6比较积极,外向大方,4一般,5有些积极,喜好游戏政治,5有些典型,6比较积极,梳妆打扮,6比较典型,4一般,与闺蜜无所不谈,5有些典型,4一般,对自身形象在意,5有些典型,4一般,谈吐大方，幽默风趣,拐弯抹角，阴阳怪气,做作,公主病,直率诚恳,6比较典型,7非常积极,刚毅坚决,5有些典型,7非常积极,在感情问题上情绪化,6比较典型,4一般,喜欢追星,4一般,4一般,没有长期打算与计划,5有些典型,3有些消极,遇到心爱的东西舍得花钱,6比较典型,5有些积极,幽默风趣，做事有条理,女性化,独立自主,万事靠人，做作,男性,18,本科,5
120,2020/10/28 18:57:51,537秒,手机提交,直接访问,218.197.142.6(湖北-武汉),王强国,7非常典型,林建刚,7非常典型,李刚,7非常典型,许心怡,7非常典型,黄雪莹,7非常典型,谢淑娴,7非常典型,打篮球,7非常典型,7非常积极,打游戏,7非常典型,5有些积极,搬重物,7非常典型,6比较积极,追剧,7非常典型,4一般,追星,7非常典型,4一般,化妆，穿漂亮裙子,7非常典型,6比较积极,礼让女生,对女生不尊重，强硬,撒娇,说小话,短发,7非常典型,7非常积极,有喉结,7非常典型,7非常积极,反应速度快，乐观,5有些典型,7非常积极,身体曲线,7非常典型,5有些积极,声音细，甜美,6比较典型,5有些积极,中长发,5有些典型,7非常积极,帅，阳光,粗心，大条,温柔,撒娇,女性,17,本科,6
121,2020/10/28 19:03:28,584秒,手机提交,直接访问,218.197.142.8(湖北-武汉),王建国,1非常不典型,张伟,1非常不典型,李云龙,2比较不典型,王梦茹,1非常不典型,花泽香菜,1非常不典型,西宫哨子,1非常不典型,开黑打网游,7非常典型,4一般,划拳,6比较典型,2比较消极,勾肩搭背,6比较典型,4一般,买化妆品,6比较典型,4一般,不坦诚,7非常典型,3有些消极,不理性,6比较典型,3有些消极,有担当,欺负弱小,温柔,自认高人一等,忍耐,6比较典型,6比较积极,有安全感,5有些典型,6比较积极,逞强,5有些典型,2比较消极,感性,6比较典型,3有些消极,易受骗,5有些典型,2比较消极,不讲理,6比较典型,1非常消极,安全感,娘炮,体谅,蛮不讲理,男性,18,本科,6
122,2020/10/29 8:01:56,385秒,手机提交,直接访问,218.197.142.20(湖北-武汉),刘德华,7非常典型,彭于晏,7非常典型,陈森,6比较典型,范芳泽,4一般,赵丽颖,7非常典型,鞠婧祎,7非常典型,打球,6比较典型,7非常积极,吸烟,6比较典型,1非常消极,开车,5有些典型,4一般,化妆,7非常典型,4一般,打扮,7非常典型,4一般,染发,6比较典型,5有些积极,礼让,吸烟喝酒,打扮,打扮,谦虚,4一般,5有些积极,强硬,7非常典型,3有些消极,大气,6比较典型,4一般,含蓄,6比较典型,4一般,积极,5有些典型,7非常积极,进取,4一般,7非常积极,谦虚,狂,积极,小气,男性,19,本科,7
123,2020/10/29 9:17:03,157秒,微信,N/A,218.199.207.2(湖北-武汉),王建国,7非常典型,王建国,7非常典型,王建国,6比较典型,刘芸,4一般,李毓,4一般,林允,5有些典型,大V个人,3有些不典型,2比较消极,国服貂蝉,4一般,6比较积极,弱旅,3有些不典型,7非常积极,反攻倒算,6比较典型,7非常积极,如果当时,5有些典型,4一般,肥嘟嘟合伙人,5有些典型,1非常消极,发v的地方,发v对的,我换件衣服,染发但是我,人都是收到,4一般,6比较积极,等到睡着,7非常典型,5有些积极,恶心心啊,3有些不典型,5有些积极,都是玩玩,5有些典型,6比较积极,一月份的,5有些典型,5有些积极,是我写的2我,4一般,5有些积极,舒服分手,人才都是,4人都是,古风小说,女性,30,本科,5
124,2020/10/29 9:20:37,276秒,微信,N/A,27.17.130.190(湖北-武汉),白敬亭,3有些不典型,何炅,6比较典型,撒贝宁,6比较典型,刘亦菲,6比较典型,范冰冰,6比较典型,周冬雨,6比较典型,帅,7非常典型,7非常积极,情商高,7非常典型,7非常积极,搞笑,7非常典型,7非常积极,美,7非常典型,7非常积极,逃税,7非常典型,1非常消极,影后,7非常典型,7非常积极,帅,不讲卫生,外在美,没有内在美,高,7非常典型,7非常积极,帅,7非常典型,7非常积极,有涵养,6比较典型,7非常积极,外在美,6比较典型,7非常积极,温柔,7非常典型,7非常积极,善良,6比较典型,6比较积极,帅,不讲卫生,善良,邪恶,女性,24,硕士研究生及以上,5
125,2020/10/29 9:26:11,463秒,微信,N/A,119.103.39.68(湖北-武汉),梁朝伟,6比较典型,周恩来,7非常典型,鲍毓明,7非常典型,宋庆龄,7非常典型,董卿,7非常典型,武则天,7非常典型,自大,7非常典型,3有些消极,不注意卫生,4一般,2比较消极,专断,3有些不典型,3有些消极,爱美,5有些典型,5有些积极,敏感,6比较典型,4一般,直觉准,5有些典型,4一般,谦逊有礼,邋遢自大,典雅大方,目中无人,大男子主义,6比较典型,4一般,不爱收拾,4一般,3有些消极,偏理性,7非常典型,6比较积极,偏感性,5有些典型,4一般,爱打扮,6比较典型,6比较积极,温柔,4一般,6比较积极,彬彬有礼,邋遢,温柔体贴,邋遢,女性,20,本科,5
126,2020/10/29 9:27:46,679秒,微信,N/A,218.199.207.97(湖北-武汉),张伟,6比较典型,李明,6比较典型,王小帅,6比较典型,微微,4一般,梦瑶,6比较典型,紫萱,6比较典型,抽烟,6比较典型,3有些消极,粗心,5有些典型,3有些消极,顾全局,5有些典型,5有些积极,敏感,6比较典型,3有些消极,做事细心,5有些典型,5有些积极,有耐心,5有些典型,5有些积极,细心,粗鲁,温柔,暂无,粗心,6比较典型,3有些消极,耐心差,5有些典型,3有些消极,比较耐打,5有些典型,4一般,想太多,6比较典型,3有些消极,爱漂亮,7非常典型,6比较积极,爱购物,6比较典型,4一般,比较细心,粗心的,待人和善,暴躁,女性,21,本科,不打分
127,2020/10/29 9:29:44,301秒,手机提交,直接访问,223.104.20.85(湖北-武汉),李明,6比较典型,李刚,6比较典型,王明,6比较典型,李佳,6比较典型,王芳,6比较典型,王丽,6比较典型,抽烟,6比较典型,5有些积极,打响指,6比较典型,5有些积极,哎运动,6比较典型,6比较积极,化妆,6比较典型,6比较积极,爱美,6比较典型,6比较积极,逛淘宝,6比较典型,6比较积极,保护欲高,唯唯诺诺,独立,绿茶,刚直,6比较典型,6比较积极,有决断力,6比较典型,6比较积极,工作能力强,6比较典型,6比较积极,弱小,6比较典型,6比较积极,承压能力弱,6比较典型,6比较积极,害羞,6比较典型,6比较积极,负责任,拖延,独立善良,虚伪,女性,20,本科,3
128,2020/10/29 9:36:33,1330秒,微信,N/A,117.136.81.133(湖北-武汉),张三,7非常典型,张维,6比较典型,李强,7非常典型,刘芳,6比较典型,李佳,6比较典型,王芳,7非常典型,玩游戏,7非常典型,2比较消极,抽烟,6比较典型,1非常消极,喝酒,4一般,4一般,逛街,7非常典型,5有些积极,看电视,4一般,4一般,打听八卦,7非常典型,5有些积极,懂礼貌,抽烟,购物,喝酒,稳重,4一般,7非常积极,机制,4一般,7非常积极,高大,2比较不典型,7非常积极,温柔,6比较典型,7非常积极,可爱,7非常典型,7非常积极,爱哭,7非常典型,3有些消极,稳重,懒惰,可爱,矫情,女性,23,硕士研究生及以上,5
129,2020/10/29 9:41:19,655秒,微信,N/A,113.57.245.240(湖北-武汉),张伟,6比较典型,张亮,5有些典型,王伟,5有些典型,李佳怡,6比较典型,子涵,6比较典型,子轩,5有些典型,玩游戏,7非常典型,4一般,买电子产品,5有些典型,5有些积极,直,5有些典型,4一般,减肥,7非常典型,5有些积极,购物,7非常典型,4一般,喝奶茶,6比较典型,4一般,玩游戏,脾气不好,减肥,小心眼,神经大条,5有些典型,4一般,邋遢,5有些典型,4一般,情绪波动不明显,7非常典型,4一般,缺少安全感,5有些典型,4一般,温柔,4一般,4一般,女生之间更亲密,5有些典型,4一般,平等尊重有教养,大男子主义,温柔,毫无情商,女性,19,本科,5
130,2020/10/29 9:41:57,294秒,手机提交,直接访问,218.199.207.11(湖北-武汉),浩楠,7非常典型,浩宇,7非常典型,宇航,6比较典型,溢菲,7非常典型,美呈,7非常典型,雅婷,7非常典型,打篮球,6比较典型,7非常积极,抽烟,6比较典型,2比较消极,喝酒,6比较典型,4一般,爱美,6比较典型,6比较积极,攀比,4一般,2比较消极,跳舞,6比较典型,6比较积极,打篮球,吸烟,爱美,攀比,阳光,6比较典型,7非常积极,开朗,6比较典型,7非常积极,懒惰,4一般,2比较消极,臭美,4一般,4一般,温暖,6比较典型,7非常积极,自信,4一般,7非常积极,阳光,懒惰,自信,臭美,女性,21,本科,4
131,2020/10/29 9:43:14,353秒,微信,N/A,117.136.107.254(河南-郑州),李卫国,6比较典型,张凯,7非常典型,张家浩,6比较典型,李梅,6比较典型,李洁,6比较典型,王敏,6比较典型,吸烟,5有些典型,2比较消极,喝酒,6比较典型,2比较消极,打游戏,6比较典型,2比较消极,逛街,6比较典型,4一般,瑜伽,5有些典型,6比较积极,跳舞,4一般,6比较积极,脾气好,家暴,温柔,咄咄逼人,强壮,6比较典型,6比较积极,高大,6比较典型,6比较积极,隐忍,6比较典型,6比较积极,温柔,6比较典型,6比较积极,大气,6比较典型,6比较积极,贤淑,5有些典型,5有些积极,强壮,粗鄙,温柔,泼辣,女性,20,本科,3
132,2020/10/29 9:51:28,401秒,手机提交,直接访问,218.199.207.41(湖北-武汉),张飞,5有些典型,王大壮,6比较典型,刘鹏,6比较典型,陈欣怡,6比较典型,王菲菲,6比较典型,黄蓉,6比较典型,吸烟,6比较典型,1非常消极,喝酒,7非常典型,2比较消极,打球,6比较典型,7非常积极,追剧,6比较典型,6比较积极,做饭,6比较典型,7非常积极,洗衣服,6比较典型,6比较积极,运动,吸烟,做饭,八卦,大男子主义,7非常典型,2比较消极,粗心,5有些典型,3有些消极,强大,6比较典型,5有些积极,细心,6比较典型,6比较积极,温柔,5有些典型,6比较积极,仔细,5有些典型,5有些积极,阳光,大男子主义,温柔,八卦,女性,19,本科,6
133,2020/10/29 9:55:32,409秒,微信,N/A,119.103.147.186(湖北-武汉),李刚,6比较典型,张明,6比较典型,李子豪,6比较典型,刘雨欣,6比较典型,刘佳丽,6比较典型,彭子琪,6比较典型,地铁上叉开腿坐,6比较典型,2比较消极,领导、发号施令,6比较典型,4一般,挣钱养家,7非常典型,5有些积极,哭泣,5有些典型,4一般,轻声细语友好交往,6比较典型,5有些积极,减肥,7非常典型,3有些消极,绅士,大男子主义,大方得体,田园女权,稳重,5有些典型,6比较积极,积极,5有些典型,6比较积极,领导力,5有些典型,5有些积极,温柔知性,5有些典型,5有些积极,勤劳持家,6比较典型,5有些积极,低调努力,6比较典型,5有些积极,尊重女性,自以为是,知书达理,无知聒噪,女性,20,本科,5
134,2020/10/29 10:00:37,270秒,手机提交,直接访问,223.90.104.187(河南-信阳),陈浩,7非常典型,张哲,5有些典型,刘远,7非常典型,陈小雪,5有些典型,张园园,5有些典型,刘静,5有些典型,吸烟,7非常典型,3有些消极,喝酒,7非常典型,3有些消极,开车,7非常典型,6比较积极,化妆,7非常典型,7非常积极,购物,7非常典型,5有些积极,生孩子,7非常典型,6比较积极,人品好,喝酒,化妆,脏话,脏话,5有些典型,1非常消极,玩耍,7非常典型,3有些消极,聚会,7非常典型,4一般,购物,7非常典型,5有些积极,做饭,5有些典型,6比较积极,购物,7非常典型,5有些积极,诚实,撒谎,做饭,脏话,女性,22,本科,7
135,2020/10/29 10:29:26,286秒,手机提交,直接访问,58.22.113.27(福建-福州),王一博,2比较不典型,马云,5有些典型,杨振宁,6比较典型,谢娜,6比较典型,董卿,6比较典型,邓丽君,6比较典型,抽烟,6比较典型,2比较消极,喝酒,6比较典型,2比较消极,赌博,6比较典型,1非常消极,做饭,6比较典型,6比较积极,看书,6比较典型,7非常积极,购物,6比较典型,6比较积极,助人为乐,酗酒,看书,斤斤计较,阳光,6比较典型,7非常积极,热情,6比较典型,7非常积极,高冷,6比较典型,4一般,阳光,6比较典型,7非常积极,文静,6比较典型,6比较积极,活泼,6比较典型,7非常积极,阳光,小气,活泼,无理取闹,女性,20,本科,6
136,2020/10/29 10:33:23,649秒,微信,N/A,218.199.207.2(湖北-武汉),..豪,6比较典型,..兵,6比较典型,..帅,6比较典型,吴雨婷,5有些典型,..月,6比较典型,..玲,6比较典型,早上洗头洗澡,5有些典型,6比较积极,玩游戏,6比较典型,7非常积极,运动,4一般,4一般,跷二郎腿,6比较典型,4一般,摸头发,6比较典型,4一般,倚头,3有些不典型,4一般,运动,抽烟,甩头发,摸脸,喉结,7非常典型,6比较积极,胡子,6比较典型,4一般,不知道,1非常不典型,1非常消极,头发,5有些典型,4一般,不知道,1非常不典型,1非常消极,不知道,1非常不典型,1非常消极,..,..,..,..,女性,20,本科,7
137,2020/10/29 10:51:36,305秒,微信,N/A,218.199.207.104(湖北-武汉),廖伟,7非常典型,张明阳,6比较典型,李慧,2比较不典型,张凯欣,6比较典型,张嘉,4一般,李珺瑶,7非常典型,喝啤酒,6比较典型,4一般,打球,6比较典型,6比较积极,说脏话,4一般,1非常消极,逛街,6比较典型,6比较积极,化妆,7非常典型,6比较积极,八卦,4一般,4一般,打球,说脏话,化妆,八卦,毛发旺盛,6比较典型,4一般,勇敢,5有些典型,7非常积极,冲动,4一般,3有些消极,温柔,6比较典型,6比较积极,胆小,6比较典型,3有些消极,优柔寡断,6比较典型,2比较消极,勇气,冲动,温柔,优柔寡断,女性,24,硕士研究生及以上,5
138,2020/10/29 11:02:35,511秒,手机提交,直接访问,218.199.207.106(湖北-武汉),某强,6比较典型,某刚,6比较典型,某磊,6比较典型,某姸,6比较典型,某婧,6比较典型,某畅,5有些典型,抽烟,6比较典型,1非常消极,喝酒,6比较典型,1非常消极,打架,4一般,1非常消极,化妆,6比较典型,4一般,臭美,6比较典型,4一般,穿裙子,7非常典型,6比较积极,有礼貌,理所当然,美丽大方,扣扣嗖嗖 婆婆妈妈 磨磨唧唧,短发,6比较典型,7非常积极,酷盖,6比较典型,7非常积极,搞笑,5有些典型,6比较积极,漂亮,6比较典型,7非常积极,长发,6比较典型,6比较积极,高跟鞋,4一般,6比较积极,帅,没礼貌,还看,磨磨唧唧,女性,19,本科,3
139,2020/10/29 12:20:55,463秒,手机提交,直接访问,218.199.207.80(湖北-武汉),张伟,7非常典型,高伟,4一般,王伟,4一般,珍妮,6比较典型,思琪,4一般,佳琪,6比较典型,帮女神搬桌子,7非常典型,6比较积极,不太喜欢洗衣服,6比较典型,3有些消极,喜欢打篮球,5有些典型,5有些积极,晚上敷面膜,5有些典型,5有些积极,出门要化妆,6比较典型,6比较积极,喜欢撒娇,5有些典型,4一般,搬桌子,满口脏话,努力学习,背叛国家,隐忍,5有些典型,4一般,稳重,4一般,4一般,温暖,5有些典型,6比较积极,文静,4一般,4一般,开朗,4一般,4一般,书卷气息,5有些典型,6比较积极,温暖,粗鲁,开朗,拖沓,男性,19,本科,4
140,2020/10/29 12:33:34,436秒,手机提交,直接访问,113.5.3.81(黑龙江-哈尔滨),于航,4一般,贾真,6比较典型,胡一天,7非常典型,贾子伊,7非常典型,张范,5有些典型,王路晗,5有些典型,跑得快,7非常典型,6比较积极,长得高,5有些典型,5有些积极,力气大,5有些典型,5有些积极,力气小,5有些典型,5有些积极,跑的慢,5有些典型,5有些积极,长的矮,5有些典型,5有些积极,宽容 大度,抽烟 斗殴,无,无,理性,5有些典型,5有些积极,聪明,4一般,5有些积极,喜欢美女,6比较典型,5有些积极,喜欢帅哥,5有些典型,5有些积极,感性,5有些典型,5有些积极,美丽,5有些典型,5有些积极,理性,渣,美丽,美丽,女性,19,本科,6
141,2020/10/29 12:39:13,239秒,微信,N/A,113.57.183.150(湖北-武汉),张晓风,6比较典型,李虎,7非常典型,李小二,6比较典型,张小花,7非常典型,二凤,7非常典型,秦妮,7非常典型,打篮球,5有些典型,6比较积极,搬重物,6比较典型,4一般,长得高,6比较典型,4一般,扎头发,6比较典型,5有些积极,化妆,6比较典型,6比较积极,用香水,5有些典型,4一般,绅士,家暴,温柔,刻薄,阳光,5有些典型,5有些积极,力气大,5有些典型,4一般,爱运动,4一般,6比较积极,爱吃,4一般,4一般,喜欢打扮,6比较典型,6比较积极,细心,5有些典型,6比较积极,阳光,不负责任,善解人意,刻薄,女性,19,本科,3
142,2020/10/29 12:57:13,268秒,微信,N/A,123.244.23.245(辽宁-铁岭),贝克汉姆,7非常典型,吴京,7非常典型,施瓦辛格,7非常典型,林黛玉,5有些典型,杨澜,5有些典型,杨幂,6比较典型,走在马路外侧,6比较典型,7非常积极,帮女生开车门,6比较典型,7非常积极,健身,5有些典型,7非常积极,生孩子,7非常典型,4一般,哺乳,7非常典型,4一般,化妆,7非常典型,7非常积极,绅士风度,家暴,温柔,作,责任感强,5有些典型,7非常积极,阳刚,7非常典型,5有些积极,占有欲强,3有些不典型,3有些消极,温柔,5有些典型,5有些积极,善良,5有些典型,7非常积极,美丽,4一般,7非常积极,保护欲,暴躁,温柔,发脾气,女性,27,硕士研究生及以上,5
143,2020/10/29 12:59:05,285秒,微信,N/A,61.138.177.2(吉林-长春),成龙,5有些典型,王一博,4一般,刘德华,5有些典型,范冰冰,5有些典型,王昭君,5有些典型,李白,6比较典型,刮胡子,7非常典型,4一般,吃饭,7非常典型,4一般,洗屁屁,5有些典型,7非常积极,化妆,7非常典型,7非常积极,美容,5有些典型,4一般,吸烟,4一般,1非常消极,洗衣服,洗脑,美容养颜,抽烟喝酒,帅,5有些典型,4一般,有才华,4一般,7非常积极,自负,7非常典型,1非常消极,爱美,5有些典型,5有些积极,温柔,5有些典型,5有些积极,婆婆妈妈,5有些典型,3有些消极,自信,自负,自信,懦弱,女性,20,本科,7
